date,ACS.MC,ACX.MC,AENA.MC,AMS.MC,ANA.MC,BBVA.MC,BKT.MC,CABK.MC,CLNX.MC,ELE.MC,FDR.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,LOG.MC,MAP.MC,MRL.MC,MTS.MC,NTGY.MC,RED.MC,REP.MC,ROVI.MC,SAB.MC,SAN.MC,SCYR.MC,SLR.MC,TEF.MC,^IBEX
2000-01-03,,9.915,,,57.0,13.623349,21.553514,,,19.01,,14.88,,,3.355,,,,,,19.0422,1.49,22.040001,,2.741411,9.849401,6.177404,,24.716843,11610.0
2000-01-04,,9.875,,,53.0,13.267874,20.573809,,,18.5,,14.6,,,3.3025,,,,,,18.582327,1.4125,21.299999,,2.741411,9.615716,6.186204,,23.698509,11206.599609
2000-01-05,,9.55,,,50.75,12.970044,20.24724,,,18.639999,,14.3,,,3.2975,,,,,,17.722191,1.4325,21.01,,2.741411,9.382031,6.203804,,22.591194,10863.099609
2000-01-06,,9.55,,,50.75,12.970044,20.24724,,,18.639999,,14.3,,,3.2975,,,,,,17.722191,1.4325,21.01,,2.741411,9.382031,6.203804,,22.591194,
2000-01-07,,10.275,,,52.400002,13.13337,20.142738,,,19.309999,,14.59,,,3.325,,,,,,18.99962,1.5,21.67,,2.741411,9.797471,6.64379,,22.630741,11102.400391
2000-01-10,,10.375,,,52.5,12.922006,20.464952,,,19.309999,,14.14,,,3.3,,,,,,18.667488,1.5,21.9,,2.726593,9.710921,6.485395,,23.312927,11173.299805
2000-01-11,,10.125,,,51.0,12.662605,22.054253,,,19.4,,13.43,,,3.28,,,,,,18.207615,1.5,21.280001,,2.726593,9.382031,6.230203,,23.332701,11012.400391
2000-01-12,,10.125,,,50.349998,12.518494,22.642075,,,19.32,,13.53,,,3.2625,,,,,,17.994709,1.5025,20.950001,,2.726593,9.295481,6.142206,,22.788931,10851.799805
2000-01-13,,9.65,,,48.779999,12.211056,25.690046,,,19.030001,,12.95,,,3.235,,,,,,17.475222,1.4975,20.4,,2.726593,9.217585,5.966211,,24.173073,10931.900391
2000-01-14,,10.05,,,48.919998,12.451242,26.996321,,,18.74,,13.99,,,3.16,,,,,,17.892515,1.52,20.950001,,2.726593,9.459926,5.851815,,24.914577,11184.0
2000-01-17,,10.5,,,47.700001,12.335952,29.369385,,,18.25,,13.22,,,3.075,,,,,,17.475222,1.5,20.42,,2.711774,9.20893,5.508626,,26.348154,11285.599609
2000-01-18,,10.8,,,48.25,12.076552,32.134331,,,18.0,,12.75,,,3.005,,,,,,16.802443,1.4775,19.809999,,2.711774,8.74156,5.209435,,26.199854,11066.299805
2000-01-19,,10.5625,,,46.900002,12.057337,28.389679,,,18.049999,,12.6,,,3.065,,,,,,17.304897,1.5025,21.799999,,2.682137,8.74156,5.200635,,26.002119,11120.700195
2000-01-20,,10.025,,,46.5,12.038122,27.845398,,,18.75,,12.75,,,3.05,,,,,,17.270832,1.4875,21.26,,2.682137,8.923315,5.244634,,25.349594,11047.599609
2000-01-21,,9.9375,,,47.299999,11.788328,29.216986,,,19.209999,,12.1,,,3.0375,,,,,,17.032379,1.495,21.209999,,2.637682,8.646355,5.526225,,24.954124,10969.299805
2000-01-24,,9.975,,,46.400002,11.845973,29.260529,,,18.93,,12.15,,,3.0425,,,,,,16.734312,1.5,21.5,,2.711774,8.74156,5.605423,,24.81571,10955.0
2000-01-25,,10.0225,,,45.25,12.105374,29.195213,,,18.66,,11.99,,,3.07,,,,,,17.074961,1.5,21.200001,,2.726593,8.74156,5.341431,,24.113752,10863.5
